Study_Hours,Attendance_Percentage,Internal_Marks,Assignment_Score,Final_Marks,Result
8.24,97.39,47,16,64.48,Pass
1.37,60.56,46,8,35.02,Fail
4.61,46.33,27,2,35,Fail
5.47,51.3,42,15,50.27,Pass
4.43,70.03,45,19,46.64,Pass
1.45,87.59,33,3,35,Fail
5.03,49.01,43,14,47.6,Pass
9.01,79.58,35,1,55.8,Pass
0.85,59.41,48,19,41.9,Pass
0.96,60.47,23,16,35,Fail
4.26,79.72,50,18,56.78,Pass
11.3,68.02,37,19,60.21,Pass
8.02,88.72,33,15,52.21,Pass
8.14,49.36,49,18,55.65,Pass
4.34,87.4,46,20,53.44,Pass
7.12,43.85,28,16,51.64,Pass
0.12,51.64,34,3,35,Fail
7.63,79.37,22,17,44.48,Pass
10.96,91.3,49,3,70.06,Pass
7.35,55.16,46,20,62.35,Pass
10.48,59.63,23,2,47.63,Pass
8.69,72.23,42,17,47.97,Pass
1.45,52.69,37,20,35,Fail
10.83,88.67,33,19,65.02,Pass
0.8,86.42,34,4,39.24,Fail
6.41,48.72,27,8,45.56,Pass
1.71,67.83,47,14,36.82,Fail
0.14,86.49,29,8,35,Fail
5.06,60.24,43,13,45.77,Pass
3.54,77.99,31,20,45.65,Pass
5.83,43.01,40,1,35,Fail
6.93,76.52,28,17,45.85,Pass
0.52,49.16,27,12,37.25,Fail
1.48,89.83,36,20,41.7,Pass
6.7,61.33,28,15,44.65,Pass
4.12,56.89,32,5,48.77,Pass
8.75,90.45,49,15,62.35,Pass
7.83,43.01,33,3,35.97,Fail
10.15,63.8,24,9,46.4,Pass
8.31,62.2,28,18,53.56,Pass
5.16,57.09,44,10,42.69,Pass
8.08,94.71,45,4,54.16,Pass
3.3,85.06,45,17,48.99,Pass
3.68,43.84,35,2,46.72,Pass
9.47,82.88,38,7,59.07,Pass
5.36,71.64,43,10,42.59,Pass
9.58,94.05,42,20,65.99,Pass
9.87,58.78,50,18,68.31,Pass
10.29,74.45,26,20,64.71,Pass
11,70.05,31,2,43.59,Pass
5.17,69.37,45,11,40.84,Pass
3.83,67.37,21,14,38.83,Fail
6.99,52.34,37,15,45.94,Pass
4.45,85.34,37,4,37.23,Fail
7.21,67.08,35,18,53.82,Pass
8.47,97.51,48,5,61.96,Pass
8.26,55.65,30,11,46.4,Pass
4.49,80.96,21,18,35,Fail
2,96.44,33,8,35,Fail
5.17,79.81,23,17,38.49,Fail
1.71,92.28,26,2,35,Fail
10.68,89.65,21,13,66.6,Pass
4.15,61.61,40,20,49.06,Pass
1.85,76.01,33,4,35,Fail
0.31,49.38,26,4,35,Fail
7.75,72.13,28,3,49.93,Pass
7.64,53.83,27,15,44.07,Pass
4.09,84.62,28,12,41.05,Pass
0.86,71.68,26,7,35,Fail
4.92,64.67,38,20,44.49,Pass
3.73,56.13,36,15,35,Fail
8.13,99.92,45,1,51.59,Pass
7.27,44.3,42,7,52.1,Pass
4.38,42.61,32,2,35,Fail
2.61,53.04,30,8,35,Fail
11.86,98.26,41,10,71.87,Pass
5.45,98.75,37,20,58,Pass
8.26,79.3,36,19,54.46,Pass
1.69,92.81,47,0,36,Fail
5.83,52.84,35,0,35,Fail
0.33,98.32,29,7,35,Fail
6.07,48.57,23,15,43.84,Pass
11.57,46.07,49,9,48.55,Pass
4.61,46.73,23,1,35,Fail
0.47,74.39,41,15,46.13,Pass
0.37,86.86,30,3,35,Fail
4.66,62,40,18,56.04,Pass
1.92,98.67,44,8,35.63,Fail
0.28,66.07,27,2,35,Fail
9.07,49.03,28,10,48.32,Pass
5.5,67.96,35,7,40.55,Pass
3.47,80.74,29,6,42.31,Pass
10.8,89.93,42,0,56.7,Pass
1.39,67.53,28,7,35,Fail
11.47,75.62,22,16,52.96,Pass
3.77,56.04,44,10,42.75,Pass
10.66,78.75,21,6,48.89,Pass
7.24,99.16,28,8,43.97,Pass
9.92,42.94,32,13,54.17,Pass
11.81,93.19,25,4,62.71,Pass
3.46,73.74,23,17,36.13,Fail
11.53,55.13,47,12,65.21,Pass
4.67,97.29,33,4,40.79,Pass
4.63,69,47,7,45.46,Pass
4.08,59.9,48,14,50.98,Pass
6.5,50.89,30,3,44.89,Pass
1.85,54.67,21,0,35,Fail
6.64,89.97,48,5,48.55,Pass
6.5,76.86,45,18,49.86,Pass
9.14,94.79,22,11,42.41,Pass
10,53.92,24,6,49.45,Pass
5.29,47.27,44,12,42.48,Pass
3.63,40.37,26,6,35,Fail
3.11,70.47,30,8,35,Fail
2.34,99.9,31,0,35.47,Fail
0.69,81.7,48,20,36.33,Fail
4.11,58.5,30,12,40.77,Pass
3.24,92.61,38,18,49.95,Pass
11.6,86.9,32,20,61.34,Pass
6.69,40.92,23,0,35,Fail
4.17,89.01,33,19,58.72,Pass
6.97,58.03,31,20,53.97,Pass
1.67,48.98,46,18,55.5,Pass
5.33,53.58,21,17,40.73,Pass
7.51,68.11,49,4,53.88,Pass
5.87,65.49,27,2,35,Fail
4.82,57.33,41,1,38.88,Fail
11.93,50.33,38,9,53.09,Pass
10.56,85.73,32,5,59.59,Pass
7.48,99.41,40,18,56.38,Pass
6.83,86.67,40,16,64.01,Pass
7.45,57.76,47,18,50.16,Pass
2.42,54.69,20,12,35,Fail
4.74,53.06,48,16,47.36,Pass
0.47,48.2,24,17,35,Fail
5.71,73.08,41,10,48.81,Pass
6.52,76.32,45,19,54.48,Pass
2.73,82.33,45,19,55.6,Pass
11.57,80.81,46,12,62.59,Pass
10.91,57.54,30,10,56.01,Pass
8.67,59.82,30,19,53.62,Pass
6.4,80.89,32,18,50.67,Pass
10.44,60.97,21,9,49.5,Pass
1.57,52.76,38,2,35,Fail
9.49,62.46,35,20,49.66,Pass
1.5,56.33,45,5,35,Fail
9.53,45.3,24,6,39.69,Fail
3.31,89.81,33,20,43.2,Pass
10.53,91.19,48,19,71.82,Pass
11.33,53.19,38,4,59.4,Pass
1.79,43.89,24,8,35,Fail
5.55,84.33,40,9,45.02,Pass
11.77,52.69,43,13,48.09,Pass
5.8,63.61,45,10,48.39,Pass
10.36,43.85,28,16,44.19,Pass
7.06,53.58,43,10,51.09,Pass
4.5,87.57,31,6,35.89,Fail
3.43,88.26,35,10,43.53,Pass
2.44,52.43,38,12,35,Fail
9.14,60.15,34,18,50.45,Pass
4.64,48.05,36,5,35,Fail
6.14,44.45,49,1,44.2,Pass
5.91,99.53,34,13,44.5,Pass
6.93,79.34,22,15,49.76,Pass
10.39,72.53,36,6,63.74,Pass
11.77,85.93,32,0,63.47,Pass
4.89,90.4,46,1,36.8,Fail
9.93,88.4,28,8,47.35,Pass
9.17,40.99,47,17,60.48,Pass
6.88,51.21,32,20,44.34,Pass
11.47,79.29,35,19,69.06,Pass
2.41,62.55,38,17,35,Fail
1.31,98.95,33,17,41.16,Pass
10.25,79.92,27,9,58.53,Pass
5.27,97.39,41,7,40.62,Pass
10.16,52.09,38,20,59.83,Pass
10.72,91.84,44,7,61.72,Pass
0.75,59.28,43,1,35,Fail
10.6,99.37,22,17,57.06,Pass
5.38,49.46,42,10,36.53,Fail
6.13,70.98,40,10,35.35,Fail
7.52,87.57,37,18,64.16,Pass
11.12,65.96,35,10,61.87,Pass
0.23,68.09,33,9,35,Fail
5.72,99.18,35,7,47.12,Pass
8.25,65.52,43,14,58.18,Pass
8.67,76.24,36,7,56.54,Pass
8.31,43.27,39,18,43.58,Pass
1.61,90.53,30,0,35,Fail
3.59,78.89,32,19,35.38,Fail
4.3,64.24,30,2,35,Fail
9.65,40.97,47,20,61.98,Pass
3.35,75.5,48,11,50.56,Pass
2.53,40.76,23,15,35,Fail
11.49,40.07,48,15,56.25,Pass
0.11,76.97,45,16,40.07,Pass
11.97,51.34,33,15,61.1,Pass
8.12,51.51,24,8,41.43,Pass
9.94,79.2,23,18,51.1,Pass
3.54,43.22,20,0,35,Fail
0.17,58.8,33,17,35,Fail
8.85,48.97,26,5,35,Fail
10.01,74.81,29,5,46.58,Pass
8.89,79.71,46,11,52.28,Pass
1.71,83.27,21,2,35,Fail
9.04,55.31,29,10,43.92,Pass
9.23,45.35,22,5,35.14,Fail
7.9,44.72,40,13,47.67,Pass
9.19,65.57,27,17,57.57,Pass
10.15,96.75,29,15,60.37,Pass
7.36,53.06,27,12,49.87,Pass
1.06,55.4,33,0,35,Fail
5.85,46.05,37,5,35.58,Fail
0.93,76.33,28,13,35,Fail
4.89,80.79,41,16,55.83,Pass
4.89,78.58,28,12,40,Pass
0.79,91.67,49,12,43.73,Pass
4.19,69.19,23,8,35,Fail
1.33,48.07,22,5,35,Fail
9.7,57.36,33,5,47.76,Pass
11.37,79.75,33,4,59.12,Pass
0.87,76.79,40,20,39.78,Fail
11.46,71.86,35,13,62.31,Pass
6.27,80.98,24,13,47.13,Pass
3.59,78.24,39,3,35,Fail
0.92,92.88,48,1,35,Fail
6.01,75.16,42,1,46.01,Pass
9.53,86.72,43,16,72.83,Pass
8.49,54.92,34,9,42.18,Pass
0.6,80.69,40,13,40.03,Pass
0.87,94.13,50,18,53.17,Pass
4.83,63.14,28,16,42.82,Pass
3.54,86.75,26,10,35,Fail
2.79,83.49,32,6,35.64,Fail
3.37,43.57,48,8,35,Fail
9.64,74.89,42,13,57.42,Pass
11.15,47.81,27,3,49.57,Pass
4.86,98.04,31,13,46.75,Pass
10.87,88.68,23,19,62.06,Pass
3.86,46.58,35,19,36.19,Fail
5.72,47.31,45,16,45.94,Pass
2.71,75.67,48,18,51.19,Pass
7.69,60.69,48,16,48.75,Pass
11.75,42.09,25,13,46.86,Pass
7.24,72.5,24,12,44.25,Pass
4.29,63.27,20,13,35,Fail
7.77,46.06,50,15,59.18,Pass
1.48,88.12,33,20,35,Fail
10.66,94.9,48,14,68.07,Pass
6.04,85.4,28,18,56.76,Pass
5.39,89.35,37,10,49.31,Pass
7.03,52.99,25,11,35,Fail
7.5,55.81,34,10,58.86,Pass
0.86,52.51,50,4,35,Fail
8.19,85.9,35,7,39.39,Fail
2.9,96.88,27,5,39.64,Fail
8.57,83.01,38,15,54.04,Pass
9.87,92.89,24,11,64.16,Pass
9.65,78.32,33,5,55.68,Pass
6.63,63.26,26,12,54.32,Pass
6.24,65.55,23,6,35,Fail
1.71,44.52,49,7,41.14,Pass
9.3,41.89,47,11,50.87,Pass
3.26,81.73,40,1,38.73,Fail
5.96,66.31,20,8,38.51,Fail
3.41,73.13,23,12,42.83,Pass
1.61,73.46,49,16,48.29,Pass
7.55,56.64,33,12,45.45,Pass
0.65,68.55,42,15,43.15,Pass
8.98,68.25,35,0,46.23,Pass
3.81,63.31,47,6,44.89,Pass
0,89.24,45,12,40.06,Pass
6.13,67.07,26,13,42.52,Pass
0.56,76.22,29,20,35,Fail
3.31,93.73,29,16,44.55,Pass
8.48,91.97,23,15,49.82,Pass
0.75,93.43,31,14,35,Fail
10.07,56.2,25,16,57.36,Pass
0.05,42.1,32,1,35,Fail
2.96,55.66,40,11,35,Fail
8.89,56.72,20,2,39.94,Fail
3.8,94.56,27,8,38.52,Fail
1.22,78.95,47,5,36.38,Fail
4.32,44.9,42,5,37.02,Fail
3.24,48.12,50,6,35,Fail
10.11,49.34,35,7,48.88,Pass
3.76,77.83,24,2,37.07,Fail
9.47,84.12,48,14,68.17,Pass
10.7,91.58,45,5,59.72,Pass
5.21,96.44,45,10,54.42,Pass
10.92,52.1,26,2,47.18,Pass
4.53,58.59,50,15,47.46,Pass
11.57,54.42,45,5,64.32,Pass
1.07,61.53,22,10,35,Fail
8.24,94.88,43,7,57.76,Pass
5.93,74.51,40,9,39.08,Fail
4.65,84.29,21,9,39.87,Fail
7.59,69.41,21,2,35.69,Fail
8.45,41.73,39,13,48.88,Pass
0.05,43.85,42,18,35,Fail
2,72.28,49,20,36.35,Fail
8.56,83.13,29,20,49.4,Pass
8,52.92,39,8,52.49,Pass
11.59,83.31,28,12,60.39,Pass
9.13,88.64,37,8,63.01,Pass
11.41,64.71,25,20,53.39,Pass
8.43,84.79,39,11,60.25,Pass
3.58,64.24,25,13,38.69,Fail
1.26,80.7,45,4,41.48,Pass
9.38,85.84,44,5,56.39,Pass
7.73,99.52,29,12,53.63,Pass
0.58,60.72,47,12,35,Fail
4.32,64.66,44,5,39.75,Fail
11.48,49.94,28,13,52.73,Pass
6,52.24,28,10,35,Fail
5.19,81.6,22,12,41.9,Pass
5.49,95.02,31,11,51.69,Pass
2.51,63.68,30,15,42.73,Pass
4.42,50.79,33,5,35,Fail
4.44,57.11,44,8,41.88,Pass
0.63,67.3,38,16,35.8,Fail
9.21,57.44,29,19,62.01,Pass
5,54.01,38,15,53.73,Pass
9.87,84.16,24,11,46.97,Pass
10.2,40.47,41,17,60.6,Pass
2.54,72.35,28,8,35.86,Fail
7.89,87.63,20,2,41.07,Pass
5.67,55.97,34,9,35.26,Fail
10.56,76.2,43,10,64.56,Pass
2.59,80.13,49,1,44.78,Pass
8.13,79.3,49,7,53.29,Pass
7.29,66.75,23,19,54.82,Pass
3.54,60.79,45,10,41.99,Pass
1.64,90.16,26,17,45.33,Pass
7.82,85.51,25,19,60.88,Pass
8.86,59.28,34,6,48.12,Pass
3.79,46.18,25,13,36.29,Fail
7.74,44.31,26,6,36.48,Fail
4.74,45.66,39,0,35,Fail
8.56,74.97,41,11,56.9,Pass
2.39,43.1,22,0,35,Fail
10.68,60.22,40,2,63.4,Pass
3.45,85.19,48,1,46.9,Pass
4.41,57.66,48,2,39.32,Fail
0.7,85.8,49,3,49.36,Pass
1.34,84.73,50,13,40.71,Pass
6.19,54.75,32,17,44.73,Pass
3.21,83.73,21,4,35,Fail
10.03,84.87,22,14,54.69,Pass
0.18,63.85,32,15,35,Fail
4.55,52.63,28,7,36.95,Fail
4.05,71.28,41,20,44.22,Pass
0.23,95.28,38,7,35,Fail
1.49,78.38,37,6,35,Fail
4.96,50.38,24,5,35,Fail
5.91,80.97,29,6,36.71,Fail
4.85,65.63,33,18,41.65,Pass
6.37,75.49,40,0,53.87,Pass
7.14,84.04,36,12,47.45,Pass
0.12,70.9,22,6,35,Fail
5.57,88.84,26,0,35,Fail
11.56,83.33,28,9,52.91,Pass
6.23,76.9,24,12,44.23,Pass
8.13,49.05,23,3,35,Fail
3.74,90.16,22,6,37.86,Fail
9.29,96.15,45,5,58.02,Pass
9.28,48.22,32,5,52.91,Pass
6.26,69.29,28,20,42.72,Pass
11.71,55.53,49,10,64.58,Pass
1.51,85.27,42,8,40.02,Pass
0.2,83.3,47,6,35,Fail
9.24,48.45,26,8,42.25,Pass
9.69,92.62,49,5,53.6,Pass
1.44,50.86,48,18,35,Fail
3.19,87.84,27,13,39.16,Fail
0.21,67.42,29,0,35,Fail
3.52,59.7,20,15,35,Fail
9.28,49.49,46,8,53.37,Pass
6.22,50.06,39,14,40.57,Pass
4.18,79.71,48,18,41.9,Pass
4.46,73.03,48,9,48.41,Pass
0.02,47.33,40,15,35,Fail
3.6,46.76,40,2,35,Fail
7.76,44.34,20,18,42.13,Pass
11.69,84.63,38,12,65.57,Pass
10.16,82.71,21,13,56.02,Pass
0.28,43.51,31,6,35,Fail
10.78,73.62,42,1,51.92,Pass
9.4,45.08,32,13,53.83,Pass
9.36,94.22,33,16,60.23,Pass
5.5,94.43,24,12,40.33,Pass
4.78,81.89,22,1,35,Fail
3.63,95.57,46,4,45.19,Pass
0.79,88.69,43,3,38.62,Fail
2.74,89.71,36,2,38.87,Fail
2.96,74.18,20,13,35.14,Fail
5.81,58.36,33,10,45.65,Pass
8.97,53.07,25,7,56.44,Pass
5.69,59.63,36,8,43.81,Pass
0.69,77.71,23,15,35,Fail
11.49,50.36,25,2,50.2,Pass
11.31,55.52,20,9,53.75,Pass
9.42,68.08,48,0,46.28,Pass
11.9,53.98,28,8,54.73,Pass
6.53,75.32,50,15,61.64,Pass
11.55,95.39,23,8,65.91,Pass
0.91,84.89,28,11,35,Fail
4.39,79.99,28,0,35,Fail
2.7,74.96,48,15,47.02,Pass
2.35,69.28,41,7,35,Fail
1.69,51.19,32,13,40.35,Pass
7.47,93.68,42,13,59.73,Pass
9.38,54.91,50,9,56.82,Pass
6.94,45.48,48,0,48.94,Pass
1.76,85,36,5,35,Fail
9.73,50.54,40,8,42.35,Pass
7.63,62.31,22,18,50.13,Pass
4.66,41.7,45,15,50.27,Pass
8.09,48.22,45,18,55.55,Pass
3.12,50.39,48,10,37.16,Fail
4.14,43.26,25,20,35,Fail
11.01,79.4,39,10,54.86,Pass
3.49,90.22,34,13,46.98,Pass
5.64,62.4,48,6,50.35,Pass
10.68,92.47,33,11,64.96,Pass
8.49,52.8,32,19,53.38,Pass
0.75,59.52,28,19,35,Fail
1.77,49.04,42,4,35,Fail
0.09,77.23,34,0,35,Fail
7.57,65.19,33,10,42.72,Pass
5.37,76.8,50,14,52.84,Pass
1.61,85.7,23,9,35,Fail
11.5,72.74,48,14,63.78,Pass
6.36,77.66,30,12,40.99,Pass
2.9,96.12,41,14,46.55,Pass
6.01,57.94,21,1,35,Fail
8.16,61.55,49,12,52.63,Pass
0.91,83.06,35,11,39.59,Fail
3.3,76.68,38,3,42,Pass
9.68,50.71,50,11,61.76,Pass
5.52,62.57,35,14,52.66,Pass
6.56,68.07,46,12,45.61,Pass
5.19,65.16,26,1,35,Fail
0.53,50.7,30,19,35,Fail
1.99,95.47,31,15,50.45,Pass
5.35,85.74,23,13,42.05,Pass
2.51,68.88,49,20,52.21,Pass
0.6,80.8,35,1,36.69,Fail
10.12,93.84,47,16,68.43,Pass
11.77,48.17,45,15,61.3,Pass
9.52,55.02,35,3,45.94,Pass
10.25,72.56,26,10,44.35,Pass
2.9,87.94,44,12,42.95,Pass
11.53,42.18,49,5,50.65,Pass
2.36,99.04,32,16,47.07,Pass
11.42,67.29,24,0,40.43,Pass
11.94,61.55,49,8,65.44,Pass
8.54,57.56,20,20,55.67,Pass
11.77,50.46,24,17,60.44,Pass
6.83,87.49,41,10,50.18,Pass
3.11,97.32,33,13,47.19,Pass
5.24,64.82,30,1,35.47,Fail
7.12,97.15,21,19,49.89,Pass
0.88,89.43,43,10,37,Fail
7.47,68.86,48,1,51.02,Pass
11.77,80.44,37,3,50.31,Pass
2.28,66.1,34,12,35,Fail
9.51,73.52,33,5,52.88,Pass
10.89,43.48,44,6,52.38,Pass
11.32,81.78,49,19,65.11,Pass
11.52,43.17,32,2,44.82,Pass
6.26,89.03,21,3,40.07,Pass
11.73,89.5,38,20,72.36,Pass
9.09,54.22,27,19,58.48,Pass
1.94,59.42,46,2,37.27,Fail
5.72,68.88,41,0,44.88,Pass
8.62,75.8,36,18,48.51,Pass
2.97,57.24,34,20,45.38,Pass
7.69,75.55,39,12,50.77,Pass
8,57.87,40,13,45.27,Pass
1.95,43.33,33,15,36.36,Fail
6.78,40.15,46,3,44.07,Pass
9.26,46.07,22,16,52.88,Pass
5.99,87.54,36,9,45.23,Pass
0.15,97.69,22,6,35,Fail
0.11,65.62,32,12,35,Fail
4.28,70.76,44,12,55.92,Pass
11.11,48.81,37,13,51,Pass
2.74,73.06,20,5,35,Fail
7.61,48.68,26,15,40.57,Pass
2.66,76.67,48,8,43.18,Pass
3.86,96,42,19,48.01,Pass
10.18,51.74,24,15,57.2,Pass
8.75,85.87,21,20,56.73,Pass
1.14,41.41,49,20,35,Fail
5.14,62.53,36,11,47.13,Pass
0.35,46.64,48,15,40.63,Pass
5.77,61.15,40,4,38.35,Fail
7.95,50.41,29,10,39.31,Fail
1.42,62.4,23,0,35,Fail
3.47,65.05,28,9,38.33,Fail
4.77,58.04,40,10,37.61,Fail
11.03,79.4,30,14,64.5,Pass
11.92,95.13,45,2,60.4,Pass
0.54,64.04,31,14,37.67,Fail
9.13,51.54,31,10,41.06,Pass
4.46,56.24,37,8,35.52,Fail
4.71,91.24,23,1,35,Fail
9.05,74.3,48,11,54.61,Pass
11.02,67.3,47,19,67.69,Pass
11.41,48.98,28,15,54.34,Pass
6.93,66.98,27,15,46.12,Pass
4.29,56.71,38,20,44.41,Pass
9.45,96.59,43,0,48.86,Pass
3.01,93.04,32,15,43.17,Pass
6.77,45.03,21,5,35,Fail
4.3,71,38,13,39.36,Fail
7.88,53.5,33,10,53.17,Pass
2.88,64.65,24,0,35,Fail
2.3,92.61,46,19,53.04,Pass
11.02,71.65,47,16,62.65,Pass
1.22,60.05,49,18,35,Fail
6.07,52.47,45,1,50.37,Pass
2.65,88.02,29,13,40.07,Pass
0.47,77.47,43,7,36.01,Fail
0.43,68.08,36,5,35,Fail
2.1,53.05,39,8,35.6,Fail
10.4,60.05,35,4,46.09,Pass
3.39,97.59,36,4,35,Fail
11.41,71.21,20,17,52.28,Pass
6.98,64.04,47,13,56.41,Pass
5.24,71.29,40,11,40.33,Pass
6.96,86.74,41,11,45.77,Pass
6.2,60.41,34,5,37.95,Fail
9.11,50.72,36,3,45.22,Pass
3.39,75.1,30,14,39.89,Fail
4.24,79.91,41,14,44.96,Pass
10.73,82.76,24,16,60.86,Pass
11.36,92.92,23,2,58.57,Pass
10.71,62.27,45,9,59.76,Pass
5.03,44.52,40,20,53.06,Pass
9.36,97.5,43,7,62.17,Pass
5.72,66.1,28,8,35.44,Fail
5.97,77.4,46,2,41.9,Pass
2.46,79.98,35,0,35,Fail
7.09,72.79,49,10,53.29,Pass
2.23,52.32,31,12,35,Fail
3.98,85.31,37,11,47.12,Pass
10.26,88.23,41,20,66.5,Pass
2.48,73.18,22,6,35,Fail
0.85,69.31,34,1,35,Fail
0.83,46.84,37,0,35,Fail
11.29,45.04,31,19,56.39,Pass
6.08,60.37,49,2,42.3,Pass
4.91,58.65,32,3,35,Fail
9.73,97.22,20,16,64.06,Pass
10.03,87.02,23,17,51.63,Pass
3.99,79.6,27,16,45.7,Pass
8.32,71.06,38,18,57.23,Pass
9.25,50.04,40,3,41.63,Pass
7.86,98.71,49,16,62.17,Pass
1.82,62.5,45,1,35,Fail
10.51,46.42,40,9,63.24,Pass
6.47,69.63,24,11,40.98,Pass
3.39,92.44,30,12,47.12,Pass
5.1,93.24,44,10,57.06,Pass
0.45,40.66,50,20,36.38,Fail
1.53,93.18,43,7,39.35,Fail
9.19,56.29,43,19,60.95,Pass
0,42.34,48,4,37.45,Fail
5,90.87,48,1,44.97,Pass
6.27,91.83,36,11,50.18,Pass
0.66,75.77,36,1,35,Fail
11.68,74.47,21,5,47.3,Pass
2.71,88.79,49,18,48,Pass
3.65,87.18,43,11,52.51,Pass
3.65,93.41,45,12,57.8,Pass
2.76,73.16,20,16,37.98,Fail
0.02,98.06,50,11,43.11,Pass
8.75,99.77,23,2,50.66,Pass
11.6,46.99,28,7,48.03,Pass
2.69,90.97,21,15,44.72,Pass
7.96,69.99,22,3,35,Fail
8.9,63.25,46,12,55.06,Pass
10.18,76.78,25,7,54.43,Pass
5.07,43.36,32,0,35,Fail
3.64,70.39,34,2,46.8,Pass
3.9,92.25,30,0,38.93,Fail
8.55,52.81,29,14,54.21,Pass
9.8,65.58,22,17,49.54,Pass
2.18,96.37,50,19,56.13,Pass
4.45,65.71,50,2,46.23,Pass
10.82,61.5,39,14,68.1,Pass
9.68,66.43,28,4,36.8,Fail
11.82,71.17,44,20,65.92,Pass
9.05,77.92,29,9,52.99,Pass
4.72,88.04,40,6,46.44,Pass
7.09,67.13,42,7,48.57,Pass
7.93,89.05,44,2,44.34,Pass
0.94,72.02,43,17,41.54,Pass
6.53,60.31,46,16,54.91,Pass
8.51,79.48,42,15,58.98,Pass
2.01,83.06,31,12,36.9,Fail
9.37,73.48,27,3,51.76,Pass
7.01,43.4,40,2,40.46,Pass
11.43,50.19,40,10,51.85,Pass
0.51,57.12,40,1,35,Fail
3.18,56.96,36,17,47.83,Pass
7.22,80.41,41,3,48.11,Pass
3.56,41.1,24,16,38.64,Fail
8.57,85.34,43,5,46.81,Pass
9.11,55.92,27,9,46.64,Pass
1.23,58.6,37,10,35,Fail
6.17,71.67,30,4,46.2,Pass
6.11,52.96,41,17,42.34,Pass
4.43,93.07,47,9,47.18,Pass
11.2,45.12,46,8,59.05,Pass
9.93,66.66,29,15,59.54,Pass
8.37,90.97,45,9,60.61,Pass
8.57,76.95,34,9,57.68,Pass
5.54,57.54,25,3,38.3,Fail
11.05,65.25,38,20,71.16,Pass
8.34,82.4,36,13,46.63,Pass
8.75,98.4,42,7,55.21,Pass
10.34,93.59,29,0,53.75,Pass
3.29,60.55,24,15,43.78,Pass
9.68,99.89,47,16,65.06,Pass
2.34,40.21,35,9,41.11,Pass
4.14,41.66,31,5,35,Fail
4.03,89.43,45,6,41.53,Pass
11.74,51.97,40,17,57.57,Pass
10.28,43.65,46,1,54.93,Pass
8.41,54.23,43,20,55.16,Pass
8.72,65.57,47,8,53.87,Pass
6.74,83.83,24,4,42.23,Pass
11.37,77.46,40,7,61.24,Pass
5.96,54.26,20,4,43,Pass
4.57,70.2,21,14,40.72,Pass
1.96,95.57,24,7,35,Fail
9.43,88.9,42,4,52.38,Pass
8.81,59.39,38,4,56.87,Pass
4.61,98.94,47,19,53.99,Pass
0.3,82.52,34,16,39.25,Fail
10.07,43.75,20,8,45.5,Pass
0.14,42.11,30,1,35,Fail
8.44,50.1,47,0,54.41,Pass
11.64,83.67,37,20,69.86,Pass
5.25,51.02,22,10,39.67,Fail
2.82,70.69,47,14,46.38,Pass
8.46,45.6,28,0,36.92,Fail
9.81,95.25,43,6,62.08,Pass
6.56,60.64,50,18,53.04,Pass
11.6,94.49,23,14,54.96,Pass
0.62,96.69,43,5,39.16,Fail
6.06,40.37,32,19,47.73,Pass
8.62,67.85,28,9,50.13,Pass
10.35,41.48,22,11,47.38,Pass
2.15,94.52,35,12,40.39,Pass
9.6,71.1,41,14,54.05,Pass
6.63,44.5,27,18,35.54,Fail
4.76,46.62,45,16,50.93,Pass
1.58,63.01,26,12,35.37,Fail
10.38,96.41,44,1,57.36,Pass
1.89,81.57,42,17,51.32,Pass
3.72,92.06,36,10,46.01,Pass
3.48,61.99,44,4,39.69,Fail
10.46,42.59,47,3,63.23,Pass
8.07,98.46,35,1,43.27,Pass
9.56,41.03,40,15,54.82,Pass
3.01,96.86,41,6,37.79,Fail
7.5,62.12,37,7,45.23,Pass
6.86,40.61,35,7,41.11,Pass
9.99,81.35,34,1,51.16,Pass
10.87,98.83,21,14,53.43,Pass
0.15,97.94,48,4,37.01,Fail
8.09,49.66,39,18,49.95,Pass
0.62,50.87,23,9,35,Fail
6.59,73.93,24,8,45.79,Pass
3.45,78.24,26,19,43.88,Pass
3.68,84.37,48,7,42.88,Pass
4.24,50.86,46,4,39.8,Fail
7.46,97.54,47,18,66.42,Pass
4.01,78.32,34,12,40.87,Pass
8.79,90.82,36,13,49.85,Pass
4.85,72.4,29,7,42.38,Pass
0.82,64.86,39,15,39.03,Fail
9.41,98.63,48,4,61.53,Pass
3.43,74.93,28,0,35,Fail
5.19,92.01,35,18,56.38,Pass
8.23,97.2,43,18,68.9,Pass
3.99,80.52,22,16,41.86,Pass
0.68,72.94,41,20,39.06,Fail
4.49,40.21,46,9,39.18,Fail
11.33,42.4,28,4,46.31,Pass
7.7,52.05,27,6,39.25,Fail
8.06,51.16,42,15,51.85,Pass
7.59,55.29,26,2,40.48,Pass
2.39,58.3,36,11,40.2,Pass
5.02,61.6,50,13,56.85,Pass
9.01,65.23,24,19,48.74,Pass
1.22,45.93,26,0,35,Fail
3.33,42.54,49,6,42.13,Pass
3.32,80.44,32,17,38.8,Fail
5.18,72.24,37,3,35,Fail
11.76,66.65,50,15,63.68,Pass
0.81,78.07,41,10,35.25,Fail
6.22,89.66,33,17,60.58,Pass
2.15,65.66,37,15,38.38,Fail
11.65,78.47,22,6,54.67,Pass
1.36,97.21,36,20,38.39,Fail
4.84,90.38,38,2,47.43,Pass
8.85,65.56,50,4,58.72,Pass
8.45,78.68,26,17,51.18,Pass
